timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761482263587,506,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7255,text,false,,2599,0,9152,13410,http://localhost/get,0,0,0
1761482261593,1254,POST Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-720,text,false,,2065,0,8354,12594,http://localhost/post,0,0,0
1761482261004,1843,PUT Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-690,text,false,,2065,0,8354,12594,http://localhost/put,0,0,0
1761482262171,675,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8732,text,false,,2599,0,8353,12593,http://localhost/get,0,0,0
1761482262166,680,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7418,text,false,,2599,0,8351,12591,http://localhost/get,0,0,0
1761482262182,664,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8092,text,false,,2599,0,8347,12587,http://localhost/get,0,0,0
1761482263565,525,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7328,text,false,,2599,0,9150,13408,http://localhost/get,0,0,0
1761482263566,522,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7302,text,false,,2599,0,9150,13408,http://localhost/get,0,0,1
1761482261025,1821,GET Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-37,text,false,,2065,0,8346,12586,http://localhost/get,0,0,0
1761482262183,663,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8063,text,false,,2599,0,8340,12580,http://localhost/get,0,0,0
1761482262181,665,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8768,text,false,,2599,0,8338,12578,http://localhost/get,0,0,1
1761482262172,674,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7457,text,false,,2599,0,8337,12577,http://localhost/get,0,0,0
1761482262169,677,DELETE Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-114,text,false,,2599,0,8337,12577,http://localhost/delete,0,0,0
1761482263593,487,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5299,text,false,,2599,0,9144,13402,http://localhost/get,0,0,0
1761482263561,519,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7810,text,false,,2599,0,9143,13401,http://localhost/get,0,0,0
1761482263564,516,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7242,text,false,,2599,0,9141,13399,http://localhost/get,0,0,0
1761482262181,615,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8756,text,false,,2599,0,8310,12550,http://localhost/get,0,0,0
1761482260999,1794,POST Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-714,text,false,,2065,0,8305,12545,http://localhost/post,0,0,0
1761482261026,1766,PUT Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-688,text,false,,2065,0,8305,12545,http://localhost/put,0,0,0
1761482263563,514,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7258,text,false,,2599,0,9140,13398,http://localhost/get,0,0,0
1761482261035,1757,PUT Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-627,text,false,,2065,0,8305,12545,http://localhost/put,0,0,0
1761482261035,1757,PUT Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-687,text,false,,2065,0,8305,12545,http://localhost/put,0,0,0
1761482263566,511,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7222,text,false,,2599,0,9140,13398,http://localhost/get,0,0,0
1761482262179,613,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8754,text,false,,2599,0,8305,12545,http://localhost/get,0,0,0
1761482263584,491,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5261,text,false,,2599,0,9139,13397,http://localhost/get,0,0,1
1761482263567,507,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7309,text,false,,2599,0,9139,13397,http://localhost/get,0,0,0
